cod_uf,cod_munic,munic,agr10,agr11,agr12,agr13,ind10,ind11,ind12,ind13,ser1_10,ser1_11,ser1_12,ser1_13,apu10,apu11,apu12,apu13,vab10,vab11,vab12,vab13,imp10,imp11,imp12,imp13,pib10,pib11,pib12,pib13,pop10,pop11,pop12,pop13,pcap10,pcap11,pcap12,pcap13
33,3302908,Miguel Pereira,5458.425,6347.769,7755.116,7947.717,33728.197,34583.468,37172.782,46913.188,185816.175,254609.98,294853.523,347134.418,112151.801,123360.83,138183.122,157567.933,337154.598,418902.047,477964.544,559563.256,24842.34,19458.836,21539.614,25794.183,361996.938,438360.883,499504.158,585357.439,24647,24699,24754,24815,14687.26,17748.12,20178.72,23588.86
33,3303005,Miracema,9767.004,12170.15,12988.558,12801.135,22196.778,26988.369,32051.642,31807.136,94482.647,102898.531,119129.098,134052.61,116993.845,129231.409,138287.044,156381.428,243440.274,271288.459,302456.341,335042.31,7346.85,10763.247,12714.241,19818.133,250787.123,282051.706,315170.582,354860.442,26829,26827,26810,26786,9347.61,10513.73,11755.71,13247.98
33,3303104,Natividade,11361.024,12959.748,15900.932,15021.327,13408.206,10923.091,13923.515,18534.515,53975.829,58759.818,69047.873,75185.789,69117.423,75319.801,80976.634,96458.394,147862.482,157962.458,179848.954,205200.026,5832.186,8011.149,11385.309,17690.301,153694.668,165973.607,191234.263,222890.327,15077,15079,15076,15069,10193.98,11006.94,12684.68,14791.32
33,3303203,Nil¢polis,0,0,0,0,153338.614,142045.471,166827.827,190207.549,832582.03,865509.826,981624.089,1335790.836,617727.822,681311.762,708941.577,796638.739,1603648.465,1688867.06,1857393.493,2322637.123,119835.374,123746.153,140596.347,203695.05,1723483.839,1812613.212,1997989.84,2526332.174,157483,157710,157986,158288,10943.94,11493.33,12646.63,15960.35
33,3303302,Niter¢i,5324.473,8380.833,9837.869,13306.454,2080287.811,2894263.104,4253319.212,5048446.451,6713872.528,8133899.688,8663692.642,9690062.755,2179261.423,2448757.217,2588930.926,2944830.637,10978746.24,13485300.84,15515780.65,17696646.3,1558335.127,1800001.918,2124315.812,2211862.058,12537081.36,15285302.76,17640096.46,19908508.36,487327,489720,491807,494200,25726.22,31212.33,35867.92,40284.31
33,3303401,Nova Friburgo,42852.522,71959.97,75372.31,65483.333,498555.495,466551.5,566267.868,586228.7,1336716.943,1358805.748,1568872.773,1725810.599,780709.8,844257.113,896320.988,1005953.094,2658834.76,2741574.331,3106833.94,3383475.726,265420.885,273830.323,308487.209,333188.329,2924255.645,3015404.654,3415321.148,3716664.055,182016,182748,183391,184122,16065.93,16500.34,18623.17,20185.88
33,3303500,Nova Igua‡u,5889.329,5584.157,5853.61,6496.934,1240822.075,1489834.286,1499912.06,1831748.521,4892304.515,5274314.822,5665967.826,6115491.54,3093290.648,3401337.542,3563095.442,4125851.895,9232306.568,10171070.81,10734828.94,12079588.89,993096.846,1032228.101,1168094.465,1181864.215,10225403.41,11203298.91,11902923.4,13261453.1,795212,799047,801746,804815,12858.71,14020.83,14846.25,16477.64
33,3303609,Paracambi,2207.152,2571.88,2723.677,3369.802,31217.131,35547.464,43757.315,56086.83,192489.613,200974.445,223665.612,241698.83,196856.089,223066.738,238438.946,249711.554,422769.986,462160.527,508585.551,550867.016,30645.681,33552.59,38858.288,49224.384,453415.666,495713.117,547443.839,600091.4,47074,47635,48129,48705,9631.98,10406.49,11374.51,12320.94
33,3303708,Para¡ba do Sul,23043.397,26224.68,28941.87,35801.363,70384.287,77612.097,88166.403,102497.503,239576.525,242233.089,297300.437,293328.003,177268.684,194703.084,208588.107,238297.645,510272.893,540772.95,622996.818,669924.515,68511.018,68664.341,71340.214,87944.786,578783.911,609437.291,694337.032,757869.301,41088,41367,41639,41955,14086.45,14732.45,16675.16,18063.86
33,3303807,Paraty,9549.598,14319.116,16276.204,21350.299,284460.441,771640.202,1599325.689,1843558.346,303452.254,500013.608,783284.574,941988.224,187851.345,212284.271,241606.648,275736.648,785313.638,1498257.198,2640493.116,3082633.517,29402.863,44627.901,58725.414,70519.142,814716.5,1542885.099,2699218.53,3153152.659,37575,38147,38740,39434,21682.41,40445.78,69675.23,79960.25
